"compute_time","Datasets","modality","compute time(hrs)"
2453,"NKI","perf",0.681388888888889
1508,"NKI","perf",0.418888888888889
349,"NKI","perf",0.0969444444444444
349,"NKI","perf",0.0969444444444444
351,"NKI","perf",0.0975
1471,"NKI","perf",0.408611111111111
1746,"NKI","perf",0.485
332,"NKI","perf",0.0922222222222222
2068,"NKI","perf",0.574444444444444
1154,"NKI","perf",0.320555555555556
3363,"NKI","perf",0.934166666666667
1232,"NKI","perf",0.342222222222222
341,"NKI","perf",0.0947222222222222
341,"NKI","perf",0.0947222222222222
1148,"NKI","perf",0.318888888888889
2532,"NKI","perf",0.703333333333333
1193,"NKI","perf",0.331388888888889
341,"NKI","perf",0.0947222222222222
317,"NKI","perf",0.0880555555555556
303,"NKI","perf",0.0841666666666667
1520,"NKI","perf",0.422222222222222
1608,"NKI","perf",0.446666666666667
338,"NKI","perf",0.0938888888888889
277,"NKI","perf",0.0769444444444444
355,"NKI","perf",0.0986111111111111
1413,"NKI","perf",0.3925
2652,"NKI","perf",0.736666666666667
343,"NKI","perf",0.0952777777777778
279,"NKI","perf",0.0775
1409,"NKI","perf",0.391388888888889
1182,"NKI","perf",0.328333333333333
1213,"NKI","perf",0.336944444444444
317,"NKI","perf",0.0880555555555556
783,"NKI","perf",0.2175
322,"NKI","perf",0.0894444444444444
2670,"NKI","perf",0.741666666666667
1217,"NKI","perf",0.338055555555556
318,"NKI","perf",0.0883333333333333
1316,"NKI","perf",0.365555555555556
2843,"NKI","perf",0.789722222222222
1475,"NKI","perf",0.409722222222222
2571,"NKI","perf",0.714166666666667
297,"NKI","perf",0.0825
323,"NKI","perf",0.0897222222222222
335,"NKI","perf",0.0930555555555556
3559,"NKI","perf",0.988611111111111
3468,"NKI","perf",0.963333333333333
338,"NKI","perf",0.0938888888888889
325,"NKI","perf",0.0902777777777778
1502,"NKI","perf",0.417222222222222
2621,"NKI","perf",0.728055555555556
1405,"NKI","perf",0.390277777777778
318,"NKI","perf",0.0883333333333333
319,"NKI","perf",0.0886111111111111
3257,"NKI","perf",0.904722222222222
1425,"NKI","perf",0.395833333333333
2408,"NKI","perf",0.668888888888889
342,"NKI","perf",0.095
329,"NKI","perf",0.0913888888888889
1212,"NKI","perf",0.336666666666667
2633,"NKI","perf",0.731388888888889
2370,"NKI","perf",0.658333333333333
338,"NKI","perf",0.0938888888888889
2034,"NKI","perf",0.565
324,"NKI","perf",0.09
2625,"NKI","perf",0.729166666666667
2541,"NKI","perf",0.705833333333333
318,"NKI","perf",0.0883333333333333
342,"NKI","perf",0.095
2032,"NKI","perf",0.564444444444444
1501,"NKI","perf",0.416944444444444
1461,"NKI","perf",0.405833333333333
318,"NKI","perf",0.0883333333333333
326,"NKI","perf",0.0905555555555556
2053,"NKI","perf",0.570277777777778
1463,"NKI","perf",0.406388888888889
2402,"NKI","perf",0.667222222222222
338,"NKI","perf",0.0938888888888889
344,"NKI","perf",0.0955555555555556
2667,"NKI","perf",0.740833333333333
1211,"NKI","perf",0.336388888888889
1682,"NKI","perf",0.467222222222222
319,"NKI","perf",0.0886111111111111
319,"NKI","perf",0.0886111111111111
1404,"NKI","perf",0.39
1409,"NKI","perf",0.391388888888889
1832,"NKI","perf",0.508888888888889
329,"NKI","perf",0.0913888888888889
280,"NKI","perf",0.0777777777777778
2826,"NKI","perf",0.785
1466,"NKI","perf",0.407222222222222
3529,"NKI","perf",0.980277777777778
343,"NKI","perf",0.0952777777777778
320,"NKI","perf",0.0888888888888889
1510,"NKI","perf",0.419444444444444
